employee_id,job_role,years_experience,education_level,country,industry,company_size,remote_work_type,team_size,salary_usd_k,primary_ai_tool,ai_tools_used_per_day,hours_with_ai_assistance_daily,ai_replaces_my_tasks_pct,ai_adoption_stage,weekly_ai_upskilling_hrs,productivity_score,burnout_score,job_satisfaction_1_5,fear_of_ai_replacement,attrition_risk
EMP0001,Data Analyst,7,PhD,India,Healthtech,Large (1000-5000),Fully Remote,8,184,GitHub Copilot,1,0.6,37,Experimenting,4.9,59,58,3.0,Low,Medium
EMP0002,DevOps Engineer,3,Self-taught,Canada,Fintech,Large (1000-5000),Hybrid,42,51,ChatGPT,3,0.6,78,Experimenting,6.6,64,47,3.6,Medium,Medium
EMP0003,Prompt Engineer,3,PhD,India,Automotive,Startup (<50),Hybrid,37,185,Midjourney,4,4.0,23,Optimizing,5.8,50,37,4.6,High,Medium
EMP0004,Backend Engineer,18,Master,Germany,Media,Mid (200-1000),Fully Remote,8,131,Perplexity,5,4.2,75,Integrating,1.4,77,67,3.0,Low,Medium
EMP0005,AI Researcher,5,Bachelor,India,E-commerce,Small (50-200),Fully Remote,21,99,Notion AI,7,0.7,61,Experimenting,1.6,58,54,3.6,Medium,Medium
EMP0006,Data Analyst,12,Self-taught,Germany,Healthtech,Large (1000-5000),On-site,19,106,Cursor,5,5.7,23,Optimizing,6.7,66,61,3.5,Medium,Low
EMP0007,AI Ethics Officer,12,PhD,USA,Gaming,Enterprise (5000+),Fully Remote,46,154,Claude,1,2.7,45,Optimizing,8.1,54,33,3.5,High,Low
EMP0008,Data Scientist,19,Bootcamp,Singapore,Consulting,Enterprise (5000+),Hybrid,44,54,Perplexity,7,4.7,46,Optimizing,9.1,43,57,2.9,Low,Medium
EMP0009,Data Analyst,6,Master,Germany,Fintech,Mid (200-1000),Hybrid,42,55,Perplexity,7,2.8,56,Experimenting,8.1,69,52,2.8,Low,Medium
EMP0010,Prompt Engineer,2,Bachelor,Netherlands,Gaming,Large (1000-5000),On-site,15,61,Claude,5,1.8,8,Optimizing,9.7,64,27,3.8,Medium,Low
EMP0011,Prompt Engineer,12,Master,UK,Cybersecurity,Startup (<50),On-site,41,157,Claude,3,3.6,8,Experimenting,4.1,38,54,3.0,Medium,Medium
EMP0012,Backend Engineer,19,Bootcamp,UK,Cybersecurity,Enterprise (5000+),On-site,15,152,Cursor,1,2.2,9,Integrating,3.3,67,38,3.4,Medium,Low
EMP0013,AI Researcher,5,Bachelor,Australia,Healthtech,Mid (200-1000),Fully Remote,22,134,Perplexity,3,4.5,45,Integrating,0.3,60,51,3.4,Medium,Low
EMP0014,DevOps Engineer,12,Bootcamp,UK,Cybersecurity,Large (1000-5000),On-site,28,230,Gemini,1,2.0,65,Optimizing,4.5,64,57,3.3,High,Medium
EMP0015,Backend Engineer,17,Master,Australia,Fintech,Large (1000-5000),Fully Remote,47,198,Midjourney,5,4.3,79,Integrating,6.5,42,48,2.7,High,High
EMP0016,Backend Engineer,17,PhD,UK,E-commerce,Large (1000-5000),Hybrid,27,40,Midjourney,1,1.7,59,Experimenting,8.2,47,41,3.5,High,Medium
EMP0017,Data Scientist,10,Master,Germany,EdTech,Large (1000-5000),Hybrid,28,114,Notion AI,2,5.5,79,Integrating,2.7,65,62,2.8,Medium,Medium
